,business_id,short_inspect_date,risk_category,short_violation_id,p1_3,p4_6,p7_9,p10_12,p13_18,p19_24,p25_36
95,73889,20160322,Moderate Risk,103132,0,0,0,0,0,0,8
96,2054,20180227,Low Risk,103142,4,0,0,0,0,2,2
97,108,20150417,Moderate Risk,103133,0,0,0,0,0,2,2
98,2134,20161109,High Risk,103103,0,3,0,0,0,0,3
99,76615,20160504,High Risk,103114,0,6,0,0,0,0,7
100,547,20160412,Low Risk,103142,0,0,0,0,0,1,3
101,70137,20160511,Low Risk,103139,0,1,0,0,0,0,3
102,86271,20160628,Moderate Risk,103124,0,2,0,0,0,0,1
103,917,20160902,Moderate Risk,103120,0,0,0,0,0,1,1
104,90203,20180213,Moderate Risk,103129,2,0,0,0,0,0,0
105,76223,20160814,Moderate Risk,103119,0,0,1,0,0,1,1
106,2544,20161205,Moderate Risk,103133,0,0,6,0,0,0,5
107,60544,20160929,Low Risk,103157,0,0,0,2,0,0,3
108,67985,20160628,Low Risk,103156,0,3,0,0,0,0,4
109,81680,20160930,Low Risk,103149,0,3,0,0,0,0,2
110,67510,20180221,Low Risk,103142,6,0,0,0,0,0,3
111,62578,20171207,Low Risk,103145,0,10,0,0,0,7,0
112,140,20160414,Low Risk,103154,4,6,0,0,0,0,4
113,286,20160607,High Risk,103103,0,5,0,0,0,0,8
114,5486,20160814,Moderate Risk,103129,0,0,0,0,0,1,1
115,86567,20180208,Moderate Risk,103133,4,4,0,0,0,0,3
116,77484,20160329,Low Risk,103144,0,0,0,0,0,2,4
117,69181,20160330,Moderate Risk,103120,2,0,0,0,0,0,1
118,3272,20151023,Moderate Risk,103120,0,0,0,0,0,0,3
119,7689,20160811,Low Risk,103148,0,0,0,0,0,0,1
120,5016,20171208,Low Risk,103149,0,4,0,0,0,4,5
121,89758,20171211,Moderate Risk,103119,0,5,0,0,0,0,4
122,85714,20161205,Moderate Risk,103119,0,0,8,0,0,0,7
123,75223,20180228,Low Risk,103154,4,0,0,0,0,1,1
