,Unnamed: 0,Unnamed: 0.1,business_id,business_name,business_address,business_city,business_state,business_postal_code,business_latitude,business_longitude,business_location,business_phone_number,inspection_id,inspection_date,inspection_score,inspection_type,violation_id,violation_description,risk_category,short_inspect_date,short_violation_id,inspect_date,p1_3,p4_6,p7_9,p10_12,p13_18,p19_24,p25_36
19,19,25,69762,Chili House Inc.,726 Clement St,San Francisco,CA,94118,,,,,69762_20160413,4/13/2016 0:00,68.0,Routine - Unscheduled,69762_20160413_103133,Foods not protected from contamination,Moderate Risk,20160413,103133,2016-04-13,0,6,0,0,6,7,0
20,20,26,80081,Good MongKok Bakery,1039 Stockton St,San Francisco,CA,94108,,,,,80081_20170104,1/4/2017 0:00,78.0,Routine - Unscheduled,80081_20170104_103120,Moderate risk food holding temperature,Moderate Risk,20170104,103120,2017-01-04,0,1,0,0,8,0,5
21,21,31,62710,Sam's Chowder Mobile,Golden Gate Park,San Francisco,CA,zzzzz,37.777122,-122.41963899999999,"(37.777122, -122.419639)",,62710_20160511,5/11/2016 0:00,86.0,Routine - Unscheduled,62710_20160511_103139,Improper food storage,Low Risk,20160511,103139,2016-05-11,0,0,0,0,0,5,1
22,22,32,93150,Chez Beesen,200 Pine St,San Francisco,CA,94104,,,,,93150_20171030,10/30/2017 0:00,,New Ownership,93150_20171030_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,20171030,103124,2017-10-30,0,6,0,0,0,0,0
23,23,33,4960,Three Star Restaurant,2515 Noriega St,San Francisco,CA,94122,37.753583,-122.490839,"(37.753583, -122.490839)",,4960_20160413,4/13/2016 0:00,71.0,Routine - Unscheduled,4960_20160413_103154,Unclean or degraded floors walls or ceilings,Low Risk,20160413,103154,2016-04-13,0,3,0,0,2,7,0
24,24,35,74922,Le Marais Bakery,2066 Chestnut St,San Francisco,CA,94123,,,,,74922_20160430,4/30/2016 0:00,82.0,Routine - Unscheduled,74922_20160430_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk,20160430,103119,2016-04-30,0,5,0,0,0,6,0
25,25,36,66999,Super Duper Burgers,2201 Chestnut St,San Francisco,CA,94123,37.800344,-122.439697,"(37.800344, -122.439697)",,66999_20160607,6/7/2016 0:00,87.0,Routine - Unscheduled,66999_20160607_103102,Unclean hands or improper use of gloves,High Risk,20160607,103102,2016-06-07,5,0,0,0,0,3,0
26,26,37,61,Chowders,Pier 39  Space A3,San Francisco,CA,94133,37.80824000000001,-122.41018899999999,"(37.80824, -122.410189)",,61_20150827,8/27/2015 0:00,92.0,Routine - Unscheduled,61_20150827_103133,Foods not protected from contamination,Moderate Risk,20150827,103133,2015-08-27,0,2,0,0,1,3,3
27,27,40,4787,TONY BALONEY'S,1098 HOWARD St,San Francisco,CA,94103,37.778033,-122.40943,"(37.778033, -122.40943)",14155861514.0,4787_20160628,6/28/2016 0:00,83.0,Routine - Unscheduled,4787_20160628_103131,Moderate risk vermin infestation,Moderate Risk,20160628,103131,2016-06-28,0,5,0,0,0,5,0
28,28,41,65066,Lers Ros Thai Noodle,307 Hayes St,San Francisco,CA,94102,37.777017,-122.42143,"(37.777017, -122.42143)",,65066_20160810,8/10/2016 0:00,72.0,Routine - Unscheduled,65066_20160810_103105,Improper cooling methods,High Risk,20160810,103105,2016-08-10,0,0,6,0,0,7,0
29,29,42,82911,Super Duper,346 Kearny St,San Francisco,CA,94108,,,,,82911_20170927,9/27/2017 0:00,88.0,Routine - Unscheduled,82911_20170927_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,20170927,103124,2017-09-27,0,0,4,0,0,3,0
30,30,43,80494,Tap (415),845 Market St #495,San Francisco,CA,94103,,,,,80494_20180227,2/27/2018 0:00,93.0,Routine - Unscheduled,80494_20180227_103114,High risk vermin infestation,High Risk,20180227,103114,2018-02-27,1,0,0,0,3,1,0
31,31,44,59577,Pasta Moto of San Francisco Centre LLC,845 Market St FE6,San Francisco,CA,94103,37.784848,-122.406892,"(37.784848, -122.406892)",,59577_20160502,5/2/2016 0:00,72.0,Routine - Unscheduled,59577_20160502_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk,20160502,103149,2016-05-02,3,0,0,6,0,4,2
32,32,45,33700,Casa Guadalupe #3,2999 MISSION,San Francisco,CA,94110,37.749194,-122.418116,"(37.749194, -122.418116)",14155875145.0,33700_20160412,4/12/2016 0:00,90.0,Routine - Unscheduled,33700_20160412_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk,20160412,103119,2016-04-12,0,3,0,0,3,4,0
33,33,46,5316,Nick's Lighthouse,Pier 45  Shed B Space 1A,San Francisco,CA,94133,,,,,5316_20171130,11/30/2017 0:00,88.0,Routine - Unscheduled,5316_20171130_103145,Improper storage of equipment utensils or linens,Low Risk,20171130,103145,2017-11-30,0,4,0,0,2,6,4
34,34,47,5631,AT&T -Room 5331 GILROY GARLIC FRIES/view [145161],24 WILLIE MAYS PLAZA 5.24.02,San Francisco,CA,94107,37.778382,-122.39115100000001,"(37.778382, -122.391151)",14155971500.0,5631_20160814,8/14/2016 0:00,94.0,Routine - Unscheduled,5631_20160814_103118,Employee eating or smoking,Moderate Risk,20160814,103118,2016-08-14,0,0,1,0,0,2,2
35,35,48,5633,AT&T - FIELD CLUB CONCESSION [145185],24 WILLIE MAYS PLAZA 1.09.04,San Francisco,CA,94107,37.778382,-122.39115100000001,"(37.778382, -122.391151)",14155971500.0,5633_20160814,8/14/2016 0:00,94.0,Routine - Unscheduled,5633_20160814_103120,Moderate risk food holding temperature,Moderate Risk,20160814,103120,2016-08-14,0,0,0,0,2,2,1
36,36,49,1596,BURGERMEISTER,86 Carl St,San Francisco,CA,94117,37.765848,-122.44966399999998,"(37.765848, -122.449664)",14155564433.0,1596_20171201,12/1/2017 0:00,96.0,Routine - Unscheduled,1596_20171201_103144,Unapproved or unmaintained equipment or utensils,Low Risk,20171201,103144,2017-12-01,0,2,0,0,0,0,5
37,37,50,5624,AT&T - DERBY GRILL Room 5311 [145154],24 WILLIE MAYS PLAZA 5.07.02,San Francisco,CA,94107,37.778382,-122.39115100000001,"(37.778382, -122.391151)",14155971500.0,5624_20160814,8/14/2016 0:00,96.0,Routine - Unscheduled,5624_20160814_103120,Moderate risk food holding temperature,Moderate Risk,20160814,103120,2016-08-14,0,0,2,1,0,1,0
38,38,51,3522,Bow Hon Restaurant,850 Grant Ave,San Francisco,CA,94108,37.794958,-122.40636699999999,"(37.794958, -122.406367)",,3522_20160412,4/12/2016 0:00,92.0,Routine - Unscheduled,3522_20160412_103120,Moderate risk food holding temperature,Moderate Risk,20160412,103120,2016-04-12,0,7,0,0,5,2,0
39,39,52,37633,100% Dessert Cafe,2512 Clement St,San Francisco,CA,94121,37.781988,-122.48625200000001,"(37.781988, -122.486252)",,37633_20160519,5/19/2016 0:00,72.0,Routine - Unscheduled,37633_20160519_103114,High risk vermin infestation,High Risk,20160519,103114,2016-05-19,0,0,0,0,5,6,0
40,40,53,39667,Peet's Coffee & Tea,595 Market St  Suite #143,San Francisco,CA,94105,37.789437,-122.40111100000001,"(37.789437, -122.401111)",,39667_20160906,9/6/2016 0:00,96.0,Routine - Unscheduled,39667_20160906_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk,20160906,103119,2016-09-06,0,0,6,0,4,1,4
41,41,56,59838,OTD,2232 Bush St,San Francisco,CA,94115,37.786988,-122.434074,"(37.786988, -122.434074)",14155929578.0,59838_20160531,5/31/2016 0:00,92.0,Routine - Unscheduled,59838_20160531_103133,Foods not protected from contamination,Moderate Risk,20160531,103133,2016-05-31,0,0,0,0,2,2,0
42,42,57,81134,Carmelina's Taqueria,500 Parnassus Ave,San Francisco,CA,94143,,,,14155501121.0,81134_20160127,1/27/2016 0:00,,Reinspection/Followup,81134_20160127_103131,Moderate risk vermin infestation,Moderate Risk,20160127,103131,2016-01-27,0,1,0,0,0,0,1
43,43,59,58673,New Luen Sing Fish Market,1207 Stockton St,San Francisco,CA,94133,37.796973,-122.40850400000001,"(37.796973, -122.408504)",,58673_20160412,4/12/2016 0:00,71.0,Routine - Unscheduled,58673_20160412_103151,Inadequate or unsanitary refuse containers or area or no garbage service,Low Risk,20160412,103151,2016-04-12,0,5,0,0,4,9,8
44,44,60,66534,Midway Grill (Snack Shop),99 Harding Park Road,San Francisco,CA,94103,37.723698,-122.49528899999999,"(37.723698, -122.495289)",,66534_20160413,4/13/2016 0:00,87.0,Routine - Unscheduled,66534_20160413_103120,Moderate risk food holding temperature,Moderate Risk,20160413,103120,2016-04-13,0,4,0,0,4,3,0
45,45,61,39403,Frisco Fried,5176 03rd St,San Francisco,CA,94124,37.73089,-122.392227,"(37.73089, -122.392227)",,39403_20171213,12/13/2017 0:00,90.0,Routine - Unscheduled,39403_20171213_103142,Unclean nonfood contact surfaces,Low Risk,20171213,103142,2017-12-13,0,4,0,0,5,0,0
46,46,62,71065,"Chutney USA, Inc.",511 Jones St,San Francisco,CA,94102,37.786044,-122.413054,"(37.786044, -122.413054)",,71065_20171211,12/11/2017 0:00,89.0,Routine - Unscheduled,71065_20171211_103142,Unclean nonfood contact surfaces,Low Risk,20171211,103142,2017-12-11,0,3,0,0,3,0,3
47,47,63,91480,Mom's Soul Groove,655 Ellis St,San Francisco,CA,94109,,,,,91480_20171002,10/2/2017 0:00,,New Ownership,91480_20171002_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk,20171002,103119,2017-10-02,0,3,0,0,0,0,0
48,48,64,77566,GreenSurge,2301 Market St,San Francisco,CA,94114,,,,14155814131.0,77566_20180223,2/23/2018 0:00,90.0,Routine - Unscheduled,77566_20180223_103177,Non service animal,Low Risk,20180223,103177,2018-02-23,4,0,5,0,0,0,4
49,49,66,85925,New Heng Fung Inc,2444 Noriega St,San Francisco,CA,94122,,,,14155740221.0,85925_20161031,10/31/2016 0:00,76.0,Routine - Unscheduled,85925_20161031_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,20161031,103124,2016-10-31,0,5,0,0,5,0,8
50,50,67,2331,JADE CAFE,1688 BRYANT St,San Francisco,CA,94103,37.765755,-122.410601,"(37.765755, -122.410601)",,2331_20170329,3/29/2017 0:00,67.0,Routine - Unscheduled,2331_20170329_103144,Unapproved or unmaintained equipment or utensils,Low Risk,20170329,103144,2017-03-29,0,0,0,0,7,10,0
51,51,68,3267,The Olive Garden Italian,3251 20th Ave,San Francisco,CA,94132,37.728497,-122.47563899999999,"(37.728497, -122.475639)",14155666770.0,3267_20161206,12/6/2016 0:00,,Complaint,3267_20161206_103138,Improper storage use or identification of toxic substances,Low Risk,20161206,103138,2016-12-06,0,0,0,5,3,2,2
52,52,69,81987,Celtic Coffee Company,142 McAllister St,San Francisco,CA,94102,,,,,81987_20160627,6/27/2016 0:00,83.0,Routine - Unscheduled,81987_20160627_103156,Permit license or inspection report not posted,Low Risk,20160627,103156,2016-06-27,0,6,0,0,0,6,2
