,Unnamed: 0,Unnamed: 0.1,business_id,business_name,business_address,business_city,business_state,business_postal_code,business_latitude,business_longitude,business_location,business_phone_number,inspection_id,inspection_date,inspection_score,inspection_type,violation_id,violation_description,risk_category,short_inspect_date,short_violation_id,inspect_date,p1_3,p4_6,p7_9,p10_12,p13_18,p19_24,p25_36
643,643,1790,9631,7-Eleven Store 2231-33429A,43 Drumm St,San Francisco,CA,94111,37.794066,-122.39653500000001,"(37.794066, -122.396535)",,9631_20160504,5/4/2016 0:00,92.0,Routine - Unscheduled,9631_20160504_103116,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk,20160504,103116,2016-05-04,0,0,4,0,0,3,0
644,644,1797,70184,Kitchen Story Cafe,3499 16th St,San Francisco,CA,94114,,,,14155939663.0,70184_20151223,12/23/2015 0:00,66.0,Routine - Unscheduled,70184_20151223_103103,High risk food holding temperature,High Risk,20151223,103103,2015-12-23,5,0,6,0,0,0,9
645,645,1798,63280,Good Luck Market,1215 Taraval St,San Francisco,CA,94116,37.742863,-122.47925900000001,"(37.742863, -122.479259)",,63280_20160504,5/4/2016 0:00,92.0,Routine - Unscheduled,63280_20160504_103152,Unclean unmaintained or improperly constructed toilet facilities,Low Risk,20160504,103152,2016-05-04,0,5,0,0,5,4,0
646,646,1802,87615,Mustafio's Pizza,1116 Polk St,San Francisco,CA,94109,,,,,87615_20171208,12/8/2017 0:00,94.0,Routine - Unscheduled,87615_20171208_103157,Food safety certificate or food handler card not available,Low Risk,20171208,103157,2017-12-08,0,2,0,0,2,2,0
647,647,1806,59044,Taqueria Cazadores,1600 C Mission St,San Francisco,CA,94110,37.749851,-122.415121,"(37.749851, -122.415121)",14156781286.0,59044_20180122,1/22/2018 0:00,78.0,Routine - Unscheduled,59044_20180122_103114,High risk vermin infestation,High Risk,20180122,103114,2018-01-22,4,0,0,0,0,7,5
648,648,1810,77958,Richmond Republic,642 Clement St,San Francisco,CA,94118,,,,14150522364.0,77958_20160608,6/8/2016 0:00,81.0,Routine - Unscheduled,77958_20160608_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,20160608,103124,2016-06-08,0,0,5,0,0,4,0
649,649,1811,37818,Nick's Crispy Tacos,1500 Broadway St,San Francisco,CA,94109,37.795991,-122.42181699999999,"(37.795991, -122.421817)",,37818_20171213,12/13/2017 0:00,96.0,Routine - Unscheduled,37818_20171213_103150,Improper or defective plumbing,Low Risk,20171213,103150,2017-12-13,0,2,0,0,0,6,4
650,650,1812,5866,KING ELEMENTARY SCHOOL,1215 CAROLINA St,San Francisco,CA,94107,37.753196,-122.39939,"(37.753196, -122.39939)",14155695797.0,5866_20180227,2/27/2018 0:00,96.0,Routine - Unscheduled,5866_20180227_103116,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk,20180227,103116,2018-02-27,1,1,0,0,2,1,3
651,651,1815,88792,Starbucks Coffee #47471,3801 03rd St,San Francisco,CA,94124,,,,,88792_20160901,9/1/2016 0:00,96.0,Routine - Unscheduled,88792_20160901_103118,Employee eating or smoking,Moderate Risk,20160901,103118,2016-09-01,0,1,0,0,0,1,0
652,652,1820,3861,CINCO DE MAYO TAQUERIA & GROCERY,2426 SAN BRUNO Ave,San Francisco,CA,94134,37.731788,-122.405381,"(37.731788, -122.405381)",,3861_20160503,5/3/2016 0:00,74.0,Routine - Unscheduled,3861_20160503_103105,Improper cooling methods,High Risk,20160503,103105,2016-05-03,0,4,0,0,3,6,0
653,653,1821,7467,RUSSELL'S CONVENIENCE #621,199 FREMONT St,San Francisco,CA,94105,37.78931400000001,-122.395192,"(37.789314, -122.395192)",,7467_20180221,2/21/2018 0:00,90.0,Routine - Unscheduled,7467_20180221_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk,20180221,103119,2018-02-21,3,0,0,0,4,0,2
654,654,1824,5136,Taco Bell,7 Drumm St,San Francisco,CA,94111,37.793874,-122.396464,"(37.793874, -122.396464)",,5136_20160504,5/4/2016 0:00,98.0,Routine - Unscheduled,5136_20160504_103150,Improper or defective plumbing,Low Risk,20160504,103150,2016-05-04,0,0,3,0,0,1,0
655,655,1827,80,LAW SCHOOL CAFE,2199 Fulton St,San Francisco,CA,94117,37.774941,-122.452797,"(37.774941, -122.452797)",,80_20160412,4/12/2016 0:00,98.0,Routine - Unscheduled,80_20160412_103139,Improper food storage,Low Risk,20160412,103139,2016-04-12,0,2,0,0,0,1,0
656,656,1829,7558,Seafood Center,831 Clement St,San Francisco,CA,94118,37.782724,-122.46826000000001,"(37.782724, -122.46826)",,7558_20160503,5/3/2016 0:00,90.0,Routine - Unscheduled,7558_20160503_103157,Food safety certificate or food handler card not available,Low Risk,20160503,103157,2016-05-03,0,0,0,0,3,4,0
657,657,1833,67237,La Jefa,445 Bayshore Blvd,San Francisco,CA,94107,37.749871,-122.405648,"(37.749871, -122.405648)",,67237_20160414,4/14/2016 0:00,88.0,Routine - Unscheduled,67237_20160414_103116,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk,20160414,103116,2016-04-14,0,0,3,0,0,4,3
658,658,1835,66685,Tacolicious,741 Valencia St,San Francisco,CA,94110,37.760974,-122.421456,"(37.760974, -122.421456)",,66685_20161205,12/5/2016 0:00,90.0,Routine - Unscheduled,66685_20161205_103133,Foods not protected from contamination,Moderate Risk,20161205,103133,2016-12-05,0,3,0,0,3,0,3
659,659,1837,3550,Noah's New York Bagels #2113,100 Bush St #102,San Francisco,CA,94104,37.791348,-122.39983400000001,"(37.791348, -122.399834)",,3550_20160405,4/5/2016 0:00,81.0,Routine - Unscheduled,3550_20160405_103103,High risk food holding temperature,High Risk,20160405,103103,2016-04-05,0,0,11,0,0,5,4
660,660,1839,505,Quickly,5301 MISSION St,San Francisco,CA,94112,37.714458,-122.44277,"(37.714458, -122.44277)",,505_20160607,6/7/2016 0:00,,Complaint,505_20160607_103154,Unclean or degraded floors walls or ceilings,Low Risk,20160607,103154,2016-06-07,3,0,0,0,3,3,2
661,661,1852,5903,Yick Wo Elementary School,2245 Jones St,San Francisco,CA,94109,37.801964,-122.41625400000001,"(37.801964, -122.416254)",,5903_20171208,12/8/2017 0:00,96.0,Routine - Unscheduled,5903_20171208_103127,Noncompliance with HAACP plan or variance,Moderate Risk,20171208,103127,2017-12-08,1,1,0,0,0,1,0
662,662,1856,6860,Searchlight Market,1964 Hyde St,San Francisco,CA,94109,37.799006,-122.41898700000002,"(37.799006, -122.418987)",,6860_20160414,4/14/2016 0:00,88.0,Routine - Unscheduled,6860_20160414_103116,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk,20160414,103116,2016-04-14,0,3,0,0,0,3,0
663,663,1859,93561,Papito,317 Connecticut St,San Francisco,CA,94107,,,,,93561_20180220,2/20/2018 0:00,,New Ownership,93561_20180220_103103,High risk food holding temperature,High Risk,20180220,103103,2018-02-20,3,0,0,0,0,0,0
664,664,1865,67043,Jang Soo BBQ,6314 Geary Blvd,San Francisco,CA,94121,37.780068,-122.487241,"(37.780068, -122.487241)",,67043_20160512,5/12/2016 0:00,70.0,Routine - Unscheduled,67043_20160512_103102,Unclean hands or improper use of gloves,High Risk,20160512,103102,2016-05-12,0,0,1,0,3,6,0
665,665,1873,63618,Contraband Coffee LLC,1415 Larkin St,San Francisco,CA,94109,37.790933,-122.41913999999998,"(37.790933, -122.41914)",14155221520.0,63618_20160328,3/28/2016 0:00,96.0,Routine - Unscheduled,63618_20160328_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk,20160328,103149,2016-03-28,0,0,2,0,0,2,2
666,666,1875,85582,Conching's Kusina,4994 Mission St,San Francisco,CA,94112,,,,14155270703.0,85582_20161021,10/21/2016 0:00,87.0,Routine - Unscheduled,85582_20161021_103150,Improper or defective plumbing,Low Risk,20161021,103150,2016-10-21,0,5,0,0,3,8,0
667,667,1877,65415,Nob Hill Liquors,1000 Hyde St,San Francisco,CA,94109,37.790208,-122.417197,"(37.790208, -122.417197)",,65415_20160511,5/11/2016 0:00,90.0,Routine - Unscheduled,65415_20160511_103120,Moderate risk food holding temperature,Moderate Risk,20160511,103120,2016-05-11,3,0,2,0,0,4,0
668,668,1879,5460,AT&T - (CART 42) FRESH POPCORN [145129],24 WILLIE MAYS PLAZA,San Francisco,CA,94107,,,,14155971500.0,5460_20160814,8/14/2016 0:00,98.0,Routine - Unscheduled,5460_20160814_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk,20160814,103149,2016-08-14,0,0,0,0,0,1,0
669,669,1883,61390,Fondue Cowboy,1052 FOLSOM St,San Francisco,CA,94103,37.777504,-122.406948,"(37.777504, -122.406948)",,61390_20160906,9/6/2016 0:00,94.0,Routine - Unscheduled,61390_20160906_103120,Moderate risk food holding temperature,Moderate Risk,20160906,103120,2016-09-06,2,0,0,0,0,2,0
670,670,1884,19060,Moscone Convention Center - Stand #2,747 HOWARD St,San Francisco,CA,94103,37.784128,-122.401533,"(37.784128, -122.401533)",,19060_20160607,6/7/2016 0:00,96.0,Routine - Unscheduled,19060_20160607_103131,Moderate risk vermin infestation,Moderate Risk,20160607,103131,2016-06-07,0,0,0,0,2,1,0
671,671,1886,773,MARIPOSA HUNTERS POINT YACHT CLUB,405 TERRY FRANCOIS Blvd,San Francisco,CA,94107,37.77325,-122.387222,"(37.77325, -122.387222)",14155789296.0,773_20161205,12/5/2016 0:00,96.0,Routine - Unscheduled,773_20161205_103144,Unapproved or unmaintained equipment or utensils,Low Risk,20161205,103144,2016-12-05,0,0,0,0,2,0,0
672,672,1893,58576,Than Tam II,577 Valencia St.,San Francisco,CA,94103,37.763664,-122.42173600000001,"(37.763664, -122.421736)",,58576_20180213,2/13/2018 0:00,77.0,Routine - Unscheduled,58576_20180213_103154,Unclean or degraded floors walls or ceilings,Low Risk,20180213,103154,2018-02-13,6,0,0,0,1,7,4
673,673,1898,4643,CHEUNG HING CHINESE DELI & MEAT INC,323 Clement St,San Francisco,CA,94118,37.782993,-122.462709,"(37.782993, -122.462709)",14155754259.0,4643_20160512,5/12/2016 0:00,67.0,Routine - Unscheduled,4643_20160512_103139,Improper food storage,Low Risk,20160512,103139,2016-05-12,5,0,0,0,0,7,0
674,674,1905,1649,COURTYARD BY MARRIOTT-RESTAURANT,299 02nd St,San Francisco,CA,94105,37.785614,-122.396693,"(37.785614, -122.396693)",,1649_20161206,12/6/2016 0:00,98.0,Routine - Unscheduled,1649_20161206_103145,Improper storage of equipment utensils or linens,Low Risk,20161206,103145,2016-12-06,0,4,0,0,1,0,0
675,675,1908,1339,HIGHER GROUNDS,691 CHENERY St,San Francisco,CA,94131,37.734483000000004,-122.43368000000001,"(37.734483, -122.43368)",14155582933.0,1339_20160414,4/14/2016 0:00,90.0,Routine - Unscheduled,1339_20160414_103120,Moderate risk food holding temperature,Moderate Risk,20160414,103120,2016-04-14,0,0,1,0,4,4,0
676,676,1909,10030,Marshall Elementary School,1575 15th St,San Francisco,CA,94103,37.766864,-122.41901399999999,"(37.766864, -122.419014)",14155246280.0,10030_20170928,9/28/2017 0:00,93.0,Routine - Unscheduled,10030_20170928_103103,High risk food holding temperature,High Risk,20170928,103103,2017-09-28,0,0,1,0,0,3,1
677,677,1911,92444,Mixt Greens,3130 Fillmore St,San Francisco,CA,94123,,,,,92444_20171213,12/13/2017 0:00,93.0,Routine - Unscheduled,92444_20171213_103103,High risk food holding temperature,High Risk,20171213,103103,2017-12-13,0,1,0,0,0,0,0
678,678,1920,903,Sabra Restaurant,419 Grant Ave,San Francisco,CA,94108,37.790874,-122.405634,"(37.790874, -122.405634)",14155983656.0,903_20171211,12/11/2017 0:00,91.0,Routine - Unscheduled,903_20171211_103144,Unapproved or unmaintained equipment or utensils,Low Risk,20171211,103144,2017-12-11,0,2,0,0,0,4,0
679,679,1921,3090,YANK SING RESTAURANT,101 SPEAR St A-16,San Francisco,CA,94105,37.792577,-122.393992,"(37.792577, -122.393992)",,3090_20150619,6/19/2015 0:00,82.0,Routine - Unscheduled,3090_20150619_103148,No thermometers or uncalibrated thermometers,Low Risk,20150619,103148,2015-06-19,0,0,3,0,0,0,4
680,680,1925,86073,Ginza Japanese Restaurant,1793 Haight St,San Francisco,CA,94117,,,,14155740552.0,86073_20160127,1/27/2016 0:00,,New Ownership,86073_20160127_103109,Unclean or unsanitary food contact surfaces,High Risk,20160127,103109,2016-01-27,0,0,0,0,2,0,1
681,681,1932,88862,Piece of Heaven,1380 Sutter St,San Francisco,CA,94109,,,,,88862_20161018,10/18/2016 0:00,96.0,Routine - Unscheduled,88862_20161018_103129,Insufficient hot water or running water,Moderate Risk,20161018,103129,2016-10-18,2,0,0,0,1,0,0
682,682,1934,5634,AT&T - COMMISARY KITCHEN [145184],24 WILLIE MAYS PLAZA 1.24.06,San Francisco,CA,94107,37.778382,-122.39115100000001,"(37.778382, -122.391151)",14155971500.0,5634_20160814,8/14/2016 0:00,98.0,Routine - Unscheduled,5634_20160814_103144,Unapproved or unmaintained equipment or utensils,Low Risk,20160814,103144,2016-08-14,0,0,3,1,1,1,2
683,683,1942,79025,Phat Philly,3388 24th St,San Francisco,CA,94110,,,,14155557428.0,79025_20170928,9/28/2017 0:00,92.0,Routine - Unscheduled,79025_20170928_103120,Moderate risk food holding temperature,Moderate Risk,20170928,103120,2017-09-28,0,0,3,0,2,0,4
684,684,1943,22671,Chiotras Grocery,858 RHODE ISLAND St,San Francisco,CA,94107,37.758944,-122.40210400000001,"(37.758944, -122.402104)",,22671_20180227,2/27/2018 0:00,96.0,Routine - Unscheduled,22671_20180227_103139,Improper food storage,Low Risk,20180227,103139,2018-02-27,2,0,0,0,1,0,2
685,685,1950,86399,Lima Peruvian Food LLC,2200 Jerrold Ave Suite N,San Francisco,CA,94124,,,,14156794193.0,86399_20170928,9/28/2017 0:00,,Complaint,86399_20170928_103116,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk,20170928,103116,2017-09-28,0,0,2,0,2,0,0
686,686,1952,88082,Chongqing Xiaomian,915 Kearny St,San Francisco,CA,94133,,,,14155980888.0,88082_20160830,8/30/2016 0:00,,New Ownership,88082_20160830_103148,No thermometers or uncalibrated thermometers,Low Risk,20160830,103148,2016-08-30,0,6,0,0,0,5,0
687,687,1962,77427,Diamond Cafe,751 Diamond St,San Francisco,CA,94114,,,,14155289551.0,77427_20160503,5/3/2016 0:00,94.0,Routine - Unscheduled,77427_20160503_103139,Improper food storage,Low Risk,20160503,103139,2016-05-03,0,0,2,0,0,3,0
688,688,1963,33145,"7-Eleven, Store 2231-33006B",2650 Mason St,San Francisco,CA,94133,37.807888,-122.414027,"(37.807888, -122.414027)",,33145_20160324,3/24/2016 0:00,94.0,Routine - Unscheduled,33145_20160324_103156,Permit license or inspection report not posted,Low Risk,20160324,103156,2016-03-24,0,0,5,0,0,4,3
689,689,1964,58861,The Tipsy Pig,2231 CHESTNUT St,San Francisco,CA,94123,37.800286,-122.439982,"(37.800286, -122.439982)",,58861_20160330,3/30/2016 0:00,92.0,Routine - Unscheduled,58861_20160330_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,20160330,103124,2016-03-30,1,0,0,0,0,0,2
690,690,1967,5908,SHERMAN ELEMENTARY SCHOOL,1651 UNION St,San Francisco,CA,94123,37.798243,-122.42616699999999,"(37.798243, -122.426167)",14155743530.0,5908_20160325,3/25/2016 0:00,96.0,Routine - Unscheduled,5908_20160325_103144,Unapproved or unmaintained equipment or utensils,Low Risk,20160325,103144,2016-03-25,1,0,3,0,5,4,2
691,691,1985,3676,Chinatown Restaurant,744 Washington St,San Francisco,CA,94108,37.795248,-122.405943,"(37.795248, -122.405943)",,3676_20150619,6/19/2015 0:00,85.0,Routine - Unscheduled,3676_20150619_103154,Unclean or degraded floors walls or ceilings,Low Risk,20150619,103154,2015-06-19,0,0,5,0,0,3,5
692,692,1989,1529,STARBUCKS,490 BRANNAN St,San Francisco,CA,94107,37.778694,-122.39613899999999,"(37.778694, -122.396139)",14155240256.0,1529_20180109,1/9/2018 0:00,,Complaint,1529_20180109_103154,Unclean or degraded floors walls or ceilings,Low Risk,20180109,103154,2018-01-09,1,0,0,1,0,0,0
693,693,1995,76546,Landmark Theatres Embarcadero Center,1 Embarcadero Center,San Francisco,CA,94111,,,,,76546_20160922,9/22/2016 0:00,,Reinspection/Followup,76546_20160922_103120,Moderate risk food holding temperature,Moderate Risk,20160922,103120,2016-09-22,0,2,0,0,0,2,0
694,694,2009,35786,Subway #33355,750 FONT Blvd,San Francisco,CA,94132,37.723054,-122.48361200000001,"(37.723054, -122.483612)",,35786_20160511,5/11/2016 0:00,84.0,Routine - Unscheduled,35786_20160511_103103,High risk food holding temperature,High Risk,20160511,103103,2016-05-11,0,3,0,0,3,1,0
695,695,2015,18577,AMC Theatres Metreon 16 - Main Stand,135 04th St  3000,San Francisco,CA,94103,37.784548,-122.40418999999999,"(37.784548, -122.40419)",,18577_20160519,5/19/2016 0:00,98.0,Routine - Unscheduled,18577_20160519_103145,Improper storage of equipment utensils or linens,Low Risk,20160519,103145,2016-05-19,2,0,0,0,1,1,0
696,696,2029,69186,"Premier Catering & Events, Inc.",1255 22nd St,San Francisco,CA,94107,,,,14155530288.0,69186_20180221,2/21/2018 0:00,81.0,Routine - Unscheduled,69186_20180221_103129,Insufficient hot water or running water,Moderate Risk,20180221,103129,2018-02-21,5,0,0,0,3,0,2
697,697,2044,5854,Gateway High/Kip Schools,1430 Scott St,San Francisco,CA,94115,37.783427,-122.437747,"(37.783427, -122.437747)",14155743600.0,5854_20180227,2/27/2018 0:00,98.0,Routine - Unscheduled,5854_20180227_103144,Unapproved or unmaintained equipment or utensils,Low Risk,20180227,103144,2018-02-27,1,1,0,3,3,1,3
698,698,2048,68986,Cafe Troya Fillmore,2125 FILLMORE St,San Francisco,CA,94115,37.789404,-122.433954,"(37.789404, -122.433954)",,68986_20171211,12/11/2017 0:00,80.0,Routine - Unscheduled,68986_20171211_103105,Improper cooling methods,High Risk,20171211,103105,2017-12-11,1,4,0,0,0,3,0
699,699,2053,1381,PEBBLE'S CAFE,2852 Diamond St,San Francisco,CA,94131,37.73382,-122.43409299999999,"(37.73382, -122.434093)",14155332270.0,1381_20160415,4/15/2016 0:00,,Reinspection/Followup,1381_20160415_103161,Low risk vermin infestation,Low Risk,20160415,103161,2016-04-15,0,0,1,0,4,2,6
700,700,2057,1139,MINI CAFE,28 VAN NESS,San Francisco,CA,94102,37.775867,-122.41935600000001,"(37.775867, -122.419356)",14155430177.0,1139_20150501,5/1/2015 0:00,79.0,Routine - Unscheduled,1139_20150501_103154,Unclean or degraded floors walls or ceilings,Low Risk,20150501,103154,2015-05-01,0,7,0,0,0,5,7
701,701,2066,36687,Jay's Cheesesteak,3285 21st St,San Francisco,CA,94110,37.756893,-122.420849,"(37.756893, -122.420849)",,36687_20160504,5/4/2016 0:00,98.0,Routine - Unscheduled,36687_20160504_103150,Improper or defective plumbing,Low Risk,20160504,103150,2016-05-04,2,0,4,0,0,1,1
702,702,2070,5650,AT&T - DOGGIE DINER room 3205 [145167],24 WILLIE MAYS PLAZA,San Francisco,CA,94107,37.778382,-122.39115100000001,"(37.778382, -122.391151)",14155971500.0,5650_20160814,8/14/2016 0:00,94.0,Routine - Unscheduled,5650_20160814_103154,Unclean or degraded floors walls or ceilings,Low Risk,20160814,103154,2016-08-14,0,0,1,0,0,2,1
703,703,2076,83990,Counter Offer,806 S Van Ness Ave,San Francisco,CA,94110,,,,14155821800.0,83990_20160628,6/28/2016 0:00,92.0,Routine - Unscheduled,83990_20160628_103154,Unclean or degraded floors walls or ceilings,Low Risk,20160628,103154,2016-06-28,0,0,3,0,0,3,1
704,704,2081,33920,Lalita Thai Restaurant & Bar,96 McAllister St,San Francisco,CA,94102,37.780989,-122.41368600000001,"(37.780989, -122.413686)",,33920_20180222,2/22/2018 0:00,70.0,Routine - Unscheduled,33920_20180222_103147,Inadequate ventilation or lighting,Low Risk,20180222,103147,2018-02-22,8,0,5,0,0,6,0
705,705,2082,78642,ABV,3174 16th St,San Francisco,CA,94103,,,,14155335126.0,78642_20160629,6/29/2016 0:00,86.0,Routine - Unscheduled,78642_20160629_103133,Foods not protected from contamination,Moderate Risk,20160629,103133,2016-06-29,0,0,0,0,0,4,0
706,706,2091,68895,It' Sugar,333 Jefferson St Space B-101,San Francisco,CA,94133,37.807922999999995,-122.41788700000001,"(37.807923, -122.417887)",,68895_20160808,8/8/2016 0:00,98.0,Routine - Unscheduled,68895_20160808_103139,Improper food storage,Low Risk,20160808,103139,2016-08-08,2,0,4,0,0,1,2
707,707,2093,7602,Oski,Pier 41,San Francisco,CA,94133,37.808494,-122.412,"(37.808494, -122.412)",,7602_20160518,5/18/2016 0:00,96.0,Routine - Unscheduled,7602_20160518_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,20160518,103124,2016-05-18,2,0,0,0,0,1,0
708,708,2096,3481,Trattoria Contadina Restaurant,1800 Mason St,San Francisco,CA,94133,37.800146999999996,-122.412456,"(37.800147, -122.412456)",,3481_20160105,1/5/2016 0:00,,Complaint,3481_20160105_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk,20160105,103119,2016-01-05,0,4,0,0,0,0,4
709,709,2101,1571,SF Bay Club - Court Cafe,150 Greenwich St,San Francisco,CA,94111,37.80320800000001,-122.402534,"(37.803208, -122.402534)",,1571_20160413,4/13/2016 0:00,85.0,Routine - Unscheduled,1571_20160413_103109,Unclean or unsanitary food contact surfaces,High Risk,20160413,103109,2016-04-13,0,0,0,0,4,3,0
710,710,2103,3881,International House of Pancakes,2299 LOMBARD St,San Francisco,CA,94123,37.79943400000001,-122.439067,"(37.799434, -122.439067)",,3881_20160511,5/11/2016 0:00,76.0,Routine - Unscheduled,3881_20160511_103144,Unapproved or unmaintained equipment or utensils,Low Risk,20160511,103144,2016-05-11,3,0,0,0,0,6,0
711,711,2105,5927,CORNERSTONES ACADEMY,801 SILVER Ave,San Francisco,CA,94134,37.729108000000004,-122.418728,"(37.729108, -122.418728)",,5927_20160324,3/24/2016 0:00,90.0,Routine - Unscheduled,5927_20160324_103154,Unclean or degraded floors walls or ceilings,Low Risk,20160324,103154,2016-03-24,0,0,2,0,2,3,4
712,712,2109,1156,Boudin Petit Cafe,"170 O'Farrell St, 1st Floor",San Francisco,CA,94102,37.786547999999996,-122.40731299999999,"(37.786548, -122.407313)",,1156_20150317,3/17/2015 0:00,93.0,Routine - Unscheduled,1156_20150317_103109,Unclean or unsanitary food contact surfaces,High Risk,20150317,103109,2015-03-17,0,0,0,2,0,3,0
713,713,2111,36840,Four Barrel Coffee,375 Valencia St,San Francisco,CA,94103,37.766994,-122.42203500000001,"(37.766994, -122.422035)",,36840_20171207,12/7/2017 0:00,82.0,Routine - Unscheduled,36840_20171207_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk,20171207,103119,2017-12-07,0,3,0,0,2,0,2
714,714,2113,62939,Hooker's Sweet Treats,442 Hyde St,San Francisco,CA,94109,37.784869,-122.416078,"(37.784869, -122.416078)",,62939_20160907,9/7/2016 0:00,96.0,Routine - Unscheduled,62939_20160907_103116,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk,20160907,103116,2016-09-07,0,0,1,0,0,1,2
715,715,2116,1351,EXIT THEATRE,156 EDDY St,San Francisco,CA,94102,37.784288000000004,-122.410224,"(37.784288, -122.410224)",,1351_20160629,6/29/2016 0:00,96.0,Routine - Unscheduled,1351_20160629_103129,Insufficient hot water or running water,Moderate Risk,20160629,103129,2016-06-29,0,0,0,0,0,1,0
716,716,2121,72049,Tai Chi Restaurant,2031 Polk St,San Francisco,CA,94109,,,,,72049_20160330,3/30/2016 0:00,86.0,Routine - Unscheduled,72049_20160330_103150,Improper or defective plumbing,Low Risk,20160330,103150,2016-03-30,7,4,1,0,0,5,5
717,717,2128,5497,AT&T - (CART 21) GOURMET SAUSAGES & BUDWEISER [145109],24 WILLIE MAYS PLAZA,San Francisco,CA,94107,,,,14155971500.0,5497_20160814,8/14/2016 0:00,96.0,Routine - Unscheduled,5497_20160814_103120,Moderate risk food holding temperature,Moderate Risk,20160814,103120,2016-08-14,0,0,0,0,4,1,1
718,718,2133,66406,Charley's Grilled Subs,865 Market St,San Francisco,CA,94103,37.784317,-122.40756299999998,"(37.784317, -122.407563)",,66406_20160510,5/10/2016 0:00,79.0,Routine - Unscheduled,66406_20160510_103116,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk,20160510,103116,2016-05-10,0,5,0,0,0,3,0
719,719,2134,81974,Sons & Daughters,708 Bush St,San Francisco,CA,94108,,,,,81974_20160629,6/29/2016 0:00,87.0,Routine - Unscheduled,81974_20160629_103109,Unclean or unsanitary food contact surfaces,High Risk,20160629,103109,2016-06-29,0,0,0,0,0,4,0
720,720,2137,69584,Eden Cafe,47 FRANKLIN St,San Francisco,CA,94102,,,,,69584_20160512,5/12/2016 0:00,75.0,Routine - Unscheduled,69584_20160512_103161,Low risk vermin infestation,Low Risk,20160512,103161,2016-05-12,0,0,0,0,5,8,0
721,721,2138,87015,Morty's Delicatessen,280 Golden Gate Ave,San Francisco,CA,94102,,,,,87015_20160630,6/30/2016 0:00,89.0,Routine - Unscheduled,87015_20160630_103109,Unclean or unsanitary food contact surfaces,High Risk,20160630,103109,2016-06-30,0,0,0,6,0,2,0
722,722,2144,519,SHERATON PALACE - EMP.  CAFETERIA,2 NEW MONTGOMERY St,San Francisco,CA,94105,37.788286,-122.40154299999999,"(37.788286, -122.401543)",,519_20171212,12/12/2017 0:00,91.0,Routine - Unscheduled,519_20171212_103142,Unclean nonfood contact surfaces,Low Risk,20171212,103142,2017-12-12,0,2,0,0,0,4,0
723,723,2151,1103,STARBUCKS COFFEE,4094 18th St,San Francisco,CA,94114,37.760938,-122.434692,"(37.760938, -122.434692)",,1103_20151224,12/24/2015 0:00,96.0,Routine - Unscheduled,1103_20151224_103154,Unclean or degraded floors walls or ceilings,Low Risk,20151224,103154,2015-12-24,0,0,2,0,1,0,2
724,724,2153,7361,PastaGina,741 Diamond St,San Francisco,CA,94114,37.751403,-122.43628600000001,"(37.751403, -122.436286)",14155280738.0,7361_20160503,5/3/2016 0:00,86.0,Routine - Unscheduled,7361_20160503_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk,20160503,103149,2016-05-03,0,0,0,0,0,6,4
725,725,2157,80495,Arashi Sushi House,4724 Geary Blvd,San Francisco,CA,94118,,,,,80495_20160629,6/29/2016 0:00,83.0,Routine - Unscheduled,80495_20160629_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk,20160629,103149,2016-06-29,0,4,0,0,0,4,5
726,726,2165,2336,Ristorante Ti Piacera,1507 Polk St,San Francisco,CA,94109,37.790645,-122.42076499999999,"(37.790645, -122.420765)",,2336_20160321,3/21/2016 0:00,82.0,Routine - Unscheduled,2336_20160321_103150,Improper or defective plumbing,Low Risk,20160321,103150,2016-03-21,4,0,5,0,0,3,6
727,727,2176,5926,"SAN FRANCISCO SCHOOL, THE",300 GAVEN St,San Francisco,CA,94134,37.732518,-122.411648,"(37.732518, -122.411648)",14155235065.0,5926_20180223,2/23/2018 0:00,96.0,Routine - Unscheduled,5926_20180223_103133,Foods not protected from contamination,Moderate Risk,20180223,103133,2018-02-23,1,0,1,0,1,0,1
728,728,2187,496,Caffe Trieste,601 Vallejo St,San Francisco,CA,94133,37.798744,-122.407408,"(37.798744, -122.407408)",,496_20160412,4/12/2016 0:00,91.0,Routine - Unscheduled,496_20160412_103139,Improper food storage,Low Risk,20160412,103139,2016-04-12,0,2,0,0,0,2,0
